,technik
0,"[{'term': 'geprägt', 'zusatz': [{'typ': 'Begriffserklärung: Standard DE', 'term': 'Von Prägen : Verformung von Material auf kaltem Wege durch hohen Druck. Beim Prägen wird aus einer ebenen Werkstoffoberfläche ein Relief. Geprägt wird insbesondere Metall (z. B. Münzen und Medaillen) sowie Leder (z. B. Bucheinbände).'}]}]"
1,"[{'term': 'geprägt', 'zusatz': [{'typ': 'Begriffserklärung: Standard DE', 'term': 'Von Prägen : Verformung von Material auf kaltem Wege durch hohen Druck. Beim Prägen wird aus einer ebenen Werkstoffoberfläche ein Relief. Geprägt wird insbesondere Metall (z. B. Münzen und Medaillen) sowie Leder (z. B. Bucheinbände).'}]}]"
2,
3,[{'term': 'geschliffen'}]
4,[{'term': 'geschliffen'}]
5,[{'term': 'geschliffen'}]
6,"[{'term': 'geschmiedet'}, {'term': 'gegossen (Schalenguss)', 'zusatz': [{'typ': 'Begriffserklärung: Standard DE', 'term': 'Mit zwei exakt aufeinander passenden und ausgearbeiteten Gussformen können Artefakte gegossen werden, die allseitig plastisch ausgeformt sind. Die in die kleinen Zwischenräume zwischen die beiden Schalen fließende Bronze erzeugt eine charakteristische Gussnaht. Sofern diese nach dem Guss nicht durch Schmieden oder Feilen vollständig entfernt wird, ist sie untrügliches Zeichen für den Zweischalenguss.'}]}, {'term': 'genietet'}, {'term': 'gepunzt', 'zusatz': [{'typ': 'Begriffserklärung: Standard DE', 'term': 'Von Punze (von italienisch: punzione; lateinisch: punctio, „das Stechen“). Beim punzieren werden durch Einschlagen mit einem Schlagstempel Ornamente, Symbole oder Marken (Meistermarken, Beschauzeichen) auf das aus Metall bestehende Werkstück übertragen.'}]}, {'term': 'ziseliert'}]"
7,"[{'term': 'geschmiedet'}, {'term': 'gegossen (Schalenguss)', 'zusatz': [{'typ': 'Begriffserklärung: Standard DE', 'term': 'Mit zwei exakt aufeinander passenden und ausgearbeiteten Gussformen können Artefakte gegossen werden, die allseitig plastisch ausgeformt sind. Die in die kleinen Zwischenräume zwischen die beiden Schalen fließende Bronze erzeugt eine charakteristische Gussnaht. Sofern diese nach dem Guss nicht durch Schmieden oder Feilen vollständig entfernt wird, ist sie untrügliches Zeichen für den Zweischalenguss.'}]}]"
8,"[{'term': 'gegossen'}, {'term': 'geschmiedet'}]"
9,"[{'term': 'gegossen'}, {'term': 'geschmiedet'}]"
